PSD @ YYE. Simulation done on 2023- 5- 2   17h57
 #            1
   0.0000000000000000        0.0000000000000000     
   286.44713532810204       -35.796256726888885     
   335.86704641728738       -4.4873741922883141     
   335.82040156102056       -4.5037236705097845     
   335.90705930222202       -4.5494834721458410     
   335.11261645751824       -3.9661705427567506     
   335.14756845994248       -3.4782410772116310     
   335.29215651584246       -3.5636836425652634     
   335.31014324069497       -3.6472203562076091     
   335.28075858831932       -3.5349280333978492     
   335.33231092176794       -3.4725234470697690     
   335.33086035264523       -3.4774090008929637     
   335.33515784183072       -3.4850829758112920     
   335.32894813351555       -3.4914734755253258     
   335.31149727213125       -3.4925433200862170     
   335.30850057097916       -3.5255389538348694     
   335.34794702077795       -3.5597642823949820     
   335.38198549122893       -3.5686355262139853     
   335.37306830247201       -3.5734480554487629     
   335.39171926258246       -3.5813650805680259     
   335.38234008228704       -3.5666209232090726     
   335.38260558967926       -3.5578063565493050     
   335.37970796960781       -3.5608208953202394     
   335.38545574180591       -3.5666664715302843     
   335.38689275878460       -3.5606938138661235     
 #            2
   0.0000000000000000        0.0000000000000000     
  -288.55691693124243       -8.2606915248897828     
  -245.67504412397173       -9.7538164548264437     
  -300.32865933073901        59.471142536689946     
  -355.89833968486607        41.777835930868463     
  -364.73599627743488        45.782902826936564     
  -367.49383154917336        59.221298546863906     
  -367.52195343592047        64.927968118417084     
  -368.48897084093215        62.138067721083047     
  -368.05833001409690        64.737964762747495     
  -368.46932182596015        67.087918747561247     
  -370.92189456920846        65.166985194562812     
  -370.90953500550222        65.195244237211114     
  -370.94214787962960        65.240369804584532     
  -370.90081096791272        65.212247399937837     
  -370.95969361904315        65.253217619353421     
  -370.98740079447037        65.283743165336659     
  -371.01296085673658        65.263681943294870     
 #            3
   0.0000000000000000        0.0000000000000000     
   150.18571117317882        246.53110451368983     
   123.65362777098792        223.17915776156869     
   182.34571295576637        275.09335267052177     
   182.71920642333166        261.51670717656089     
   182.39688702451733        234.36019248786025     
   224.11865275554854        269.30103278236385     
   205.24773447514312        252.10981196239646     
   238.22223097949086        236.23248754923981     
   289.55117042843904        225.19101592584292     
   225.14973555015189        229.80634725742067     
   167.55235189005703        210.02870935650031     
   92.097891172670089        187.85023870106937     
   195.51247127370925        116.91656169794148     
   208.08436298732090       -60.453099695170337     
  -17.088593485108618       -97.634235869298010     
   60.630897818497289       -327.48180630254990     
  -15.785171970293618       -329.87048546098833     
   91.131709616996957       -356.02545298774191     
   59.948461794633992       -349.53174471080189     
   72.096337532195136       -288.73409273536623     
   120.89266528342027       -217.76463748795175     
   118.54978605575435       -133.39598975966243     
   240.74063044956068       -26.175448039388286     
   325.20493096696924       -72.266061460021149     
   460.39413842842566       -163.96781631743056     
   459.96852501114358       -163.91995046693739     
   459.30107695274273       -164.39771715507456     
   457.67570954297071       -164.77497750867281     
   459.42861185526817       -162.37866756363158     
   458.50407354566710       -160.53886306038953     
   459.98295456861905       -164.01714113265572     
   460.90830616390951       -164.04261335618764     
   460.89795906827072       -163.99444851291867     
   460.89868219273313       -163.96031402142384     
   460.91510005749603       -163.96132007381689     
 #            4
   0.0000000000000000        0.0000000000000000     
   146.15940115630110        248.93927530015185     
   135.72878137509369        285.09241043040419     
   107.15514091901809        284.30977505592796     
   157.00930409809627        264.29660864376808     
   181.60145250386535        255.19697040286937     
   212.30805723898183        241.85935804892625     
   259.20331018355500        262.63087818119845     
   237.70933768387752        247.92331419795480     
   203.78166585757268        220.60887473697494     
   225.44318848813114        285.13639015836685     
   240.35294904499790        280.21329588294361     
   234.61499457616503        273.98200586412906     
   250.16340298773707        270.56736183638344     
   268.24995125970304        269.69088829042448     
   276.96475511091046        286.55664654733857     
   279.04263801073705        286.96943494579449     
   280.26015045213398        288.70924704962249     
   278.24696124107061        289.41327532030567     
   278.21673236066374        289.43504933587047     
 #            5
   0.0000000000000000        0.0000000000000000     
  -260.41458692627987        124.56956389643641     
  -333.76419902227019        22.816970897906970     
  -341.54246352806240        74.604501451609735     
  -337.71933830724424        44.178724523650772     
  -353.30441733941944        54.344010352003998     
  -351.00124721201513        34.796627412340740     
  -349.12847211339999        36.946840436992872     
  -350.18704820869942        42.426885817960745     
  -341.89038767816356        48.837675595760864     
  -358.57053367110393        58.936699800894623     
  -371.36746526265102        57.307743448904418     
  -368.94943783303177        55.318423402141740     
  -364.12642725882273        52.110519864860294     
  -353.45668520106312        56.305049315601629     
  -370.45913296872271        48.654347619660001     
