PSD @ YYE. Simulation done on 2023- 5- 2   23h53
  -500.00000000000000       -288.67513459481290     
  -495.88477366255142       -288.67513459481290     
  -493.82716049382714       -292.23902514536616     
  -491.76954732510291       -288.67513459481290     
  -487.65432098765433       -288.67513459481290     
  -485.59670781893004       -292.23902514536616     
  -487.65432098765433       -295.80291569591941     
  -483.53909465020581       -295.80291569591935     
  -481.48148148148152       -299.36680624647261     
  -479.42386831275724       -295.80291569591935     
  -475.30864197530866       -295.80291569591935     
  -477.36625514403295       -292.23902514536616     
  -475.30864197530866       -288.67513459481290     
  -471.19341563786008       -288.67513459481290     
  -469.13580246913580       -292.23902514536616     
  -467.07818930041157       -288.67513459481290     
  -462.96296296296299       -288.67513459481290     
  -460.90534979423870       -292.23902514536616     
  -462.96296296296299       -295.80291569591941     
  -458.84773662551441       -295.80291569591941     
  -456.79012345679013       -299.36680624647266     
  -458.84773662551441       -302.93069679702592     
  -462.96296296296299       -302.93069679702592     
  -460.90534979423870       -306.49458734757917     
  -462.96296296296299       -310.05847789813242     
  -458.84773662551441       -310.05847789813242     
  -456.79012345679013       -313.62236844868568     
  -454.73251028806590       -310.05847789813237     
  -450.61728395061732       -310.05847789813237     
  -448.55967078189303       -313.62236844868562     
  -450.61728395061732       -317.18625899923887     
  -446.50205761316874       -317.18625899923887     
  -444.44444444444446       -320.75014954979213     
  -442.38683127572017       -317.18625899923887     
  -438.27160493827159       -317.18625899923887     
  -440.32921810699588       -313.62236844868562     
  -438.27160493827159       -310.05847789813237     
  -434.15637860082302       -310.05847789813237     
  -432.09876543209873       -313.62236844868562     
  -430.04115226337450       -310.05847789813237     
  -425.92592592592592       -310.05847789813237     
  -427.98353909465021       -306.49458734757911     
  -425.92592592592592       -302.93069679702586     
  -430.04115226337450       -302.93069679702592     
  -432.09876543209879       -299.36680624647266     
  -430.04115226337450       -295.80291569591941     
  -425.92592592592592       -295.80291569591941     
  -427.98353909465021       -292.23902514536616     
  -425.92592592592592       -288.67513459481290     
  -421.81069958847735       -288.67513459481290     
  -419.75308641975306       -292.23902514536616     
  -417.69547325102883       -288.67513459481290     
  -413.58024691358025       -288.67513459481290     
  -411.52263374485597       -292.23902514536616     
  -413.58024691358025       -295.80291569591941     
  -409.46502057613174       -295.80291569591935     
  -407.40740740740745       -299.36680624647261     
  -405.34979423868316       -295.80291569591935     
  -401.23456790123458       -295.80291569591935     
  -403.29218106995887       -292.23902514536616     
  -401.23456790123458       -288.67513459481290     
  -397.11934156378601       -288.67513459481290     
  -395.06172839506172       -292.23902514536616     
  -393.00411522633749       -288.67513459481290     
  -388.88888888888891       -288.67513459481290     
  -386.83127572016463       -292.23902514536616     
  -388.88888888888891       -295.80291569591941     
  -384.77366255144034       -295.80291569591941     
  -382.71604938271605       -299.36680624647266     
  -384.77366255144034       -302.93069679702592     
  -388.88888888888891       -302.93069679702592     
  -386.83127572016463       -306.49458734757917     
  -388.88888888888891       -310.05847789813242     
  -384.77366255144034       -310.05847789813242     
  -382.71604938271605       -313.62236844868568     
  -380.65843621399182       -310.05847789813237     
  -376.54320987654324       -310.05847789813237     
  -374.48559670781896       -313.62236844868562     
  -376.54320987654324       -317.18625899923887     
  -372.42798353909467       -317.18625899923887     
  -370.37037037037038       -320.75014954979213     
  -372.42798353909467       -324.31404010034538     
  -376.54320987654324       -324.31404010034538     
  -374.48559670781896       -327.87793065089863     
  -376.54320987654324       -331.44182120145189     
  -380.65843621399182       -331.44182120145189     
  -382.71604938271611       -327.87793065089863     
  -384.77366255144034       -331.44182120145189     
  -388.88888888888891       -331.44182120145189     
  -386.83127572016463       -335.00571175200514     
  -388.88888888888891       -338.56960230255839     
  -384.77366255144034       -338.56960230255834     
  -382.71604938271605       -342.13349285311159     
  -384.77366255144034       -345.69738340366484     
  -388.88888888888891       -345.69738340366484     
  -386.83127572016463       -349.26127395421810     
  -388.88888888888891       -352.82516450477135     
  -384.77366255144034       -352.82516450477135     
  -382.71604938271605       -356.38905505532460     
  -380.65843621399182       -352.82516450477135     
  -376.54320987654324       -352.82516450477135     
  -374.48559670781896       -356.38905505532460     
  -376.54320987654324       -359.95294560587786     
  -372.42798353909467       -359.95294560587780     
  -370.37037037037038       -363.51683615643105     
  -368.31275720164609       -359.95294560587780     
  -364.19753086419752       -359.95294560587780     
  -366.25514403292186       -356.38905505532455     
  -364.19753086419757       -352.82516450477129     
  -360.08230452674900       -352.82516450477129     
  -358.02469135802471       -356.38905505532455     
  -355.96707818930048       -352.82516450477129     
  -351.85185185185190       -352.82516450477129     
  -349.79423868312762       -356.38905505532455     
  -351.85185185185190       -359.95294560587780     
  -347.73662551440333       -359.95294560587780     
  -345.67901234567904       -363.51683615643105     
  -347.73662551440333       -367.08072670698431     
  -351.85185185185190       -367.08072670698431     
  -349.79423868312762       -370.64461725753756     
  -351.85185185185190       -374.20850780809081     
  -347.73662551440333       -374.20850780809081     
  -345.67901234567904       -377.77239835864407     
  -343.62139917695481       -374.20850780809076     
  -339.50617283950623       -374.20850780809076     
  -337.44855967078195       -377.77239835864401     
  -339.50617283950623       -381.33628890919726     
  -335.39094650205766       -381.33628890919726     
  -333.33333333333337       -384.90017945975052     
  -331.27572016460908       -381.33628890919726     
  -327.16049382716051       -381.33628890919726     
  -329.21810699588480       -377.77239835864401     
  -327.16049382716051       -374.20850780809076     
  -323.04526748971193       -374.20850780809076     
  -320.98765432098764       -377.77239835864401     
  -318.93004115226341       -374.20850780809076     
  -314.81481481481484       -374.20850780809076     
  -316.87242798353913       -370.64461725753750     
  -314.81481481481484       -367.08072670698425     
  -318.93004115226341       -367.08072670698431     
  -320.98765432098770       -363.51683615643105     
  -318.93004115226341       -359.95294560587780     
  -314.81481481481484       -359.95294560587780     
  -316.87242798353913       -356.38905505532455     
  -314.81481481481484       -352.82516450477129     
  -310.69958847736626       -352.82516450477129     
  -308.64197530864197       -356.38905505532455     
  -306.58436213991774       -352.82516450477129     
  -302.46913580246917       -352.82516450477129     
  -300.41152263374488       -356.38905505532455     
  -302.46913580246917       -359.95294560587780     
  -298.35390946502065       -359.95294560587774     
  -296.29629629629636       -363.51683615643100     
  -294.23868312757207       -359.95294560587774     
  -290.12345679012350       -359.95294560587774     
  -292.18106995884779       -356.38905505532455     
  -290.12345679012350       -352.82516450477129     
  -286.00823045267492       -352.82516450477129     
  -283.95061728395063       -356.38905505532455     
  -281.89300411522640       -352.82516450477129     
  -277.77777777777783       -352.82516450477129     
  -279.83539094650212       -349.26127395421804     
  -277.77777777777783       -345.69738340366479     
  -281.89300411522635       -345.69738340366484     
  -283.95061728395063       -342.13349285311159     
  -281.89300411522635       -338.56960230255834     
  -277.77777777777777       -338.56960230255834     
  -279.83539094650206       -335.00571175200514     
  -277.77777777777777       -331.44182120145189     
  -281.89300411522635       -331.44182120145189     
  -283.95061728395063       -327.87793065089863     
  -286.00823045267492       -331.44182120145183     
  -290.12345679012350       -331.44182120145183     
  -292.18106995884779       -327.87793065089858     
  -290.12345679012350       -324.31404010034532     
  -294.23868312757202       -324.31404010034538     
  -296.29629629629630       -320.75014954979213     
  -294.23868312757202       -317.18625899923887     
  -290.12345679012344       -317.18625899923887     
  -292.18106995884773       -313.62236844868562     
  -290.12345679012344       -310.05847789813237     
  -286.00823045267487       -310.05847789813237     
  -283.95061728395058       -313.62236844868562     
  -281.89300411522635       -310.05847789813237     
  -277.77777777777777       -310.05847789813237     
  -279.83539094650206       -306.49458734757911     
  -277.77777777777777       -302.93069679702586     
  -281.89300411522635       -302.93069679702592     
  -283.95061728395063       -299.36680624647266     
  -281.89300411522635       -295.80291569591941     
  -277.77777777777777       -295.80291569591941     
  -279.83539094650206       -292.23902514536616     
  -277.77777777777777       -288.67513459481290     
  -273.66255144032920       -288.67513459481290     
  -271.60493827160491       -292.23902514536616     
  -269.54732510288068       -288.67513459481290     
  -265.43209876543210       -288.67513459481290     
  -263.37448559670781       -292.23902514536616     
  -265.43209876543210       -295.80291569591941     
  -261.31687242798353       -295.80291569591941     
  -259.25925925925924       -299.36680624647266     
  -257.20164609053495       -295.80291569591941     
  -253.08641975308637       -295.80291569591941     
  -255.14403292181069       -292.23902514536616     
  -253.08641975308640       -288.67513459481290     
  -248.97119341563786       -288.67513459481290     
  -246.91358024691357       -292.23902514536616     
  -244.85596707818928       -288.67513459481290     
  -240.74074074074073       -288.67513459481290     
  -238.68312757201645       -292.23902514536616     
  -240.74074074074073       -295.80291569591941     
  -236.62551440329219       -295.80291569591941     
  -234.56790123456790       -299.36680624647266     
  -236.62551440329219       -302.93069679702592     
  -240.74074074074076       -302.93069679702592     
  -238.68312757201645       -306.49458734757917     
  -240.74074074074073       -310.05847789813242     
  -236.62551440329219       -310.05847789813242     
  -234.56790123456790       -313.62236844868568     
  -232.51028806584361       -310.05847789813237     
  -228.39506172839506       -310.05847789813237     
  -226.33744855967078       -313.62236844868562     
  -228.39506172839506       -317.18625899923887     
  -224.27983539094652       -317.18625899923887     
  -222.22222222222223       -320.75014954979213     
  -220.16460905349794       -317.18625899923887     
  -216.04938271604937       -317.18625899923887     
  -218.10699588477368       -313.62236844868562     
  -216.04938271604939       -310.05847789813237     
  -211.93415637860085       -310.05847789813237     
  -209.87654320987656       -313.62236844868562     
  -207.81893004115227       -310.05847789813237     
  -203.70370370370372       -310.05847789813237     
  -205.76131687242801       -306.49458734757911     
  -203.70370370370375       -302.93069679702586     
  -207.81893004115227       -302.93069679702592     
  -209.87654320987656       -299.36680624647266     
  -207.81893004115227       -295.80291569591941     
  -203.70370370370370       -295.80291569591941     
  -205.76131687242801       -292.23902514536616     
  -203.70370370370372       -288.67513459481290     
  -199.58847736625518       -288.67513459481290     
  -197.53086419753089       -292.23902514536616     
  -195.47325102880660       -288.67513459481290     
  -191.35802469135805       -288.67513459481290     
  -189.30041152263377       -292.23902514536616     
  -191.35802469135805       -295.80291569591941     
  -187.24279835390951       -295.80291569591941     
  -185.18518518518522       -299.36680624647266     
  -183.12757201646093       -295.80291569591941     
  -179.01234567901236       -295.80291569591941     
  -181.06995884773664       -292.23902514536616     
  -179.01234567901236       -288.67513459481290     
  -174.89711934156381       -288.67513459481290     
  -172.83950617283952       -292.23902514536616     
  -170.78189300411523       -288.67513459481290     
  -166.66666666666669       -288.67513459481290     
  -164.60905349794240       -292.23902514536616     
  -166.66666666666669       -295.80291569591941     
  -162.55144032921814       -295.80291569591941     
  -160.49382716049385       -299.36680624647266     
  -162.55144032921814       -302.93069679702592     
  -166.66666666666671       -302.93069679702592     
  -164.60905349794240       -306.49458734757917     
  -166.66666666666669       -310.05847789813242     
  -162.55144032921814       -310.05847789813242     
  -160.49382716049385       -313.62236844868568     
  -158.43621399176956       -310.05847789813237     
  -154.32098765432102       -310.05847789813237     
  -152.26337448559673       -313.62236844868562     
  -154.32098765432102       -317.18625899923887     
  -150.20576131687247       -317.18625899923887     
  -148.14814814814818       -320.75014954979213     
  -150.20576131687247       -324.31404010034538     
  -154.32098765432104       -324.31404010034538     
  -152.26337448559673       -327.87793065089863     
  -154.32098765432102       -331.44182120145189     
  -158.43621399176956       -331.44182120145189     
  -160.49382716049385       -327.87793065089863     
  -162.55144032921814       -331.44182120145189     
  -166.66666666666669       -331.44182120145189     
  -164.60905349794240       -335.00571175200514     
  -166.66666666666666       -338.56960230255839     
  -162.55144032921814       -338.56960230255834     
  -160.49382716049385       -342.13349285311159     
  -162.55144032921814       -345.69738340366484     
  -166.66666666666671       -345.69738340366484     
  -164.60905349794240       -349.26127395421810     
  -166.66666666666669       -352.82516450477135     
  -162.55144032921814       -352.82516450477135     
  -160.49382716049385       -356.38905505532460     
  -158.43621399176956       -352.82516450477135     
  -154.32098765432102       -352.82516450477135     
  -152.26337448559673       -356.38905505532460     
  -154.32098765432099       -359.95294560587786     
  -150.20576131687244       -359.95294560587780     
  -148.14814814814815       -363.51683615643105     
  -146.09053497942386       -359.95294560587780     
  -141.97530864197529       -359.95294560587780     
  -144.03292181069961       -356.38905505532455     
  -141.97530864197532       -352.82516450477129     
  -137.86008230452677       -352.82516450477129     
  -135.80246913580248       -356.38905505532455     
  -133.74485596707819       -352.82516450477129     
  -129.62962962962965       -352.82516450477129     
  -127.57201646090537       -356.38905505532455     
  -129.62962962962968       -359.95294560587780     
  -125.51440329218109       -359.95294560587780     
  -123.45679012345681       -363.51683615643105     
  -125.51440329218109       -367.08072670698431     
  -129.62962962962965       -367.08072670698431     
  -127.57201646090537       -370.64461725753756     
  -129.62962962962965       -374.20850780809081     
  -125.51440329218109       -374.20850780809081     
  -123.45679012345678       -377.77239835864407     
  -121.39917695473254       -374.20850780809076     
  -117.28395061728398       -374.20850780809076     
  -115.22633744855970       -377.77239835864401     
  -117.28395061728399       -381.33628890919726     
  -113.16872427983542       -381.33628890919726     
  -111.11111111111114       -384.90017945975052     
  -113.16872427983543       -388.46407001030377     
  -117.28395061728399       -388.46407001030377     
  -115.22633744855970       -392.02796056085703     
  -117.28395061728399       -395.59185111141028     
  -121.39917695473255       -395.59185111141028     
  -123.45679012345683       -392.02796056085703     
  -125.51440329218111       -395.59185111141028     
  -129.62962962962968       -395.59185111141028     
  -127.57201646090539       -399.15574166196353     
  -129.62962962962965       -402.71963221251679     
  -125.51440329218111       -402.71963221251673     
  -123.45679012345683       -406.28352276306998     
  -125.51440329218111       -409.84741331362324     
  -129.62962962962968       -409.84741331362324     
  -127.57201646090539       -413.41130386417649     
  -129.62962962962968       -416.97519441472974     
  -133.74485596707822       -416.97519441472974     
  -135.80246913580251       -413.41130386417649     
  -137.86008230452680       -416.97519441472974     
  -141.97530864197535       -416.97519441472974     
  -144.03292181069963       -413.41130386417649     
  -141.97530864197535       -409.84741331362324     
  -146.09053497942389       -409.84741331362324     
  -148.14814814814818       -406.28352276306998     
  -150.20576131687247       -409.84741331362324     
  -154.32098765432104       -409.84741331362324     
  -152.26337448559676       -413.41130386417649     
  -154.32098765432104       -416.97519441472974     
  -158.43621399176959       -416.97519441472974     
  -160.49382716049388       -413.41130386417649     
  -162.55144032921817       -416.97519441472974     
  -166.66666666666671       -416.97519441472974     
  -164.60905349794243       -420.53908496528300     
  -166.66666666666669       -424.10297551583625     
  -162.55144032921817       -424.10297551583619     
  -160.49382716049388       -427.66686606638945     
  -162.55144032921817       -431.23075661694270     
  -166.66666666666674       -431.23075661694270     
  -164.60905349794243       -434.79464716749595     
  -166.66666666666671       -438.35853771804921     
  -162.55144032921814       -438.35853771804921     
  -160.49382716049385       -441.92242826860246     
  -158.43621399176959       -438.35853771804921     
  -154.32098765432102       -438.35853771804921     
  -152.26337448559673       -441.92242826860246     
  -154.32098765432099       -445.48631881915571     
  -150.20576131687247       -445.48631881915566     
  -148.14814814814818       -449.05020936970891     
  -150.20576131687247       -452.61409992026216     
  -154.32098765432104       -452.61409992026216     
  -152.26337448559673       -456.17799047081542     
  -154.32098765432102       -459.74188102136867     
  -158.43621399176959       -459.74188102136867     
  -160.49382716049388       -456.17799047081542     
  -162.55144032921814       -459.74188102136867     
  -166.66666666666671       -459.74188102136867     
  -164.60905349794243       -463.30577157192192     
  -166.66666666666669       -466.86966212247518     
  -162.55144032921817       -466.86966212247512     
  -160.49382716049388       -470.43355267302837     
  -162.55144032921817       -473.99744322358163     
  -166.66666666666674       -473.99744322358163     
  -164.60905349794243       -477.56133377413488     
  -166.66666666666671       -481.12522432468813     
  -162.55144032921817       -481.12522432468813     
  -160.49382716049388       -484.68911487524139     
  -158.43621399176959       -481.12522432468813     
  -154.32098765432104       -481.12522432468813     
  -152.26337448559676       -484.68911487524139     
  -154.32098765432104       -488.25300542579464     
  -150.20576131687250       -488.25300542579464     
  -148.14814814814821       -491.81689597634789     
  -146.09053497942392       -488.25300542579464     
  -141.97530864197535       -488.25300542579464     
  -144.03292181069963       -484.68911487524139     
  -141.97530864197535       -481.12522432468813     
  -137.86008230452680       -481.12522432468813     
  -135.80246913580251       -484.68911487524139     
  -133.74485596707822       -481.12522432468813     
  -129.62962962962968       -481.12522432468813     
  -127.57201646090540       -484.68911487524139     
  -129.62962962962970       -488.25300542579464     
  -125.51440329218111       -488.25300542579464     
  -123.45679012345684       -491.81689597634789     
  -125.51440329218111       -495.38078652690115     
  -129.62962962962968       -495.38078652690115     
  -127.57201646090540       -498.94467707745440     
  -129.62962962962968       -502.50856762800765     
  -125.51440329218111       -502.50856762800765     
  -123.45679012345681       -506.07245817856091     
  -121.39917695473257       -502.50856762800760     
  -117.28395061728401       -502.50856762800760     
  -115.22633744855973       -506.07245817856085     
  -117.28395061728402       -509.63634872911410     
  -113.16872427983544       -509.63634872911410     
  -111.11111111111117       -513.20023927966736     
  -109.05349794238688       -509.63634872911410     
  -104.93827160493834       -509.63634872911410     
  -106.99588477366261       -506.07245817856091     
  -104.93827160493832       -502.50856762800765     
  -100.82304526748976       -502.50856762800765     
  -98.765432098765487       -506.07245817856091     
  -96.707818930041213       -502.50856762800765     
  -92.592592592592652       -502.50856762800765     
  -94.650205761316926       -498.94467707745440     
  -92.592592592592638       -495.38078652690115     
