Circle Test @ YYE. Version 1.1.1.. Simulation on 2023- 6- 2   17h19
            X coord            Y coord            Time            Local Time            Threshold

          0.99813593          0.01915717          0.00000500          0.00626657          0.00622765
          0.49497829          0.86730710          0.00013400          0.16794409          0.16736078
          0.99614225         -0.05677210          0.00001300          0.01629308          0.01537760
          0.99766005         -0.06294266          0.00006300          0.07895879          0.07853940
          0.99730529         -0.05450992          0.00010500          0.13159798          0.13079030
          0.63927873         -0.76659432          0.00018800          0.23562306          0.23469481
         -0.11429396         -0.99168035          0.00002800          0.03509280          0.03433477
          0.98925083          0.12757222          0.00013600          0.17045072          0.17009695
          0.99704222         -0.04358903          0.00004400          0.05514582          0.05442294
          0.98495184          0.16542205          0.00003700          0.04637262          0.04592892
          0.99443790         -0.09172138          0.00005100          0.06391902          0.06320571
          0.99555782          0.08873823          0.00008600          0.10778502          0.10705047
         -0.15790548         -0.98643986          0.00005300          0.06642565          0.06594356
          0.95478350         -0.29382831          0.00003400          0.04261268          0.04243943
          0.94818831          0.31201389          0.00009700          0.12157147          0.12063261
          0.99637901          0.06117385          0.00011700          0.14663775          0.14573099
          0.99253150         -0.10768097          0.00019800          0.24815620          0.24810555
          0.99506394         -0.09614993          0.00000800          0.01002651          0.00888048
          0.45644530          0.88689789          0.00020000          0.25066283          0.24976809
          0.95703184          0.28079666          0.00003400          0.04261268          0.04206334
          0.99841492         -0.03618291          0.00022300          0.27948905          0.27907951
          0.85374153          0.51874487          0.00013800          0.17295735          0.17258285
          0.95843258         -0.28200423          0.00001400          0.01754640          0.01669045
          0.98070008          0.17986637          0.00004900          0.06141239          0.06118930
          0.57109971          0.81923429          0.00007200          0.09023862          0.09019189
         -0.07511767          0.99516134          0.00004800          0.06015908          0.05996204
          0.99597503         -0.07585414          0.00005300          0.06642565          0.06518872
          0.98706636         -0.15320026          0.00002400          0.03007954          0.02982695
          0.92638253          0.37021624          0.00001900          0.02381297          0.02380672
          0.88398772         -0.46346196          0.00000900          0.01127983          0.01116469
          0.99775314          0.02173189          0.00012400          0.15541095          0.15432513
          0.99748220          0.05753029          0.00017200          0.21557003          0.21502959
          0.98310401         -0.17239284          0.00001500          0.01879971          0.01835661
          0.92705625          0.37302569          0.00015100          0.18925043          0.18865464
          0.99263167         -0.11513716          0.00000100          0.00125331          0.00055090
          0.99720481          0.04401994          0.00005800          0.07269222          0.07205341
          0.98342251          0.17884239          0.00005900          0.07394553          0.07313093
          0.97400789          0.22063760          0.00001600          0.02005303          0.01938565
          0.99261482         -0.11623845          0.00001300          0.01629308          0.01592245
          0.99492192         -0.08606285          0.00002200          0.02757291          0.02656925
          0.96702754          0.25166029          0.00007700          0.09650519          0.09541291
          0.72808561         -0.68181937          0.00005800          0.07269222          0.07182618
          0.99195488         -0.12081818          0.00004700          0.05890576          0.05799724
          0.99896654         -0.03921687          0.00001800          0.02255965          0.02150871
          0.97127539         -0.23075314          0.00006300          0.07895879          0.07882826
          0.73653610         -0.67340911          0.00010200          0.12783804          0.12743313
          0.96573679         -0.25326571          0.00010500          0.13159798          0.13076008
          0.99742944          0.05181059          0.00000200          0.00250663          0.00171973
         -0.76390804         -0.64286771          0.00006700          0.08397205          0.08275005
          0.96114669         -0.27267956          0.00000300          0.00375994          0.00300652
          0.99459193         -0.07289117          0.00004700          0.05890576          0.05816060
          0.99215464          0.12390582          0.00015200          0.19050375          0.18976084
          0.99396735          0.08565976          0.00004500          0.05639914          0.05554397
          0.99967194         -0.00387923          0.00000400          0.00501326          0.00406638
          0.87323451         -0.48336096          0.00008300          0.10402507          0.10323933
          0.99864384          0.00676935          0.00016400          0.20554352          0.20523162
          0.98304713          0.17567886          0.00004400          0.05514582          0.05450873
          0.99720143         -0.02409851          0.00006800          0.08522536          0.08504700
          0.98474605         -0.17089610          0.00002800          0.03509280          0.03439081
          0.75054656         -0.65967822          0.00001400          0.01754640          0.01662055
          0.99729339          0.01815209          0.00003100          0.03885274          0.03818884
          0.99538300         -0.07616292          0.00004300          0.05389251          0.05293639
          0.90667376          0.42118101          0.00005900          0.07394553          0.07351640
          0.98880618         -0.14457800          0.00021600          0.27071585          0.26967754
          0.99897729          0.02930245          0.00011300          0.14162450          0.14055083
          0.95221997          0.30367487          0.00001400          0.01754640          0.01675361
          0.99642883         -0.06617253          0.00000500          0.00626657          0.00513466
          0.86676941         -0.49507467          0.00010200          0.12783804          0.12762043
          0.96859264          0.24398236          0.00009900          0.12407810          0.12399887
          0.99195690         -0.11350340          0.00003100          0.03885274          0.03865798
          0.99959497         -0.01859447          0.00006900          0.08647868          0.08624206
          0.59582463          0.80288236          0.00006600          0.08271873          0.08252581
          0.85307477          0.51647757          0.00001300          0.01629308          0.01507257
          0.98879711          0.14019428          0.00011800          0.14789107          0.14684656
          0.96061927          0.26860320          0.00006000          0.07519885          0.07463551
          0.99743831         -0.02323197          0.00023400          0.29327551          0.29224580
          0.00654935         -0.99916255          0.00009000          0.11279827          0.11185792
          0.99292141         -0.10609451          0.00028700          0.35970116          0.35884721
          0.87948602         -0.47420891          0.00000900          0.01127983          0.01088767
          0.99880828         -0.02362618          0.00001900          0.02381297          0.02326938
          0.99565865         -0.08574509          0.00005500          0.06893228          0.06804806
          0.96688417         -0.25448564          0.00005300          0.06642565          0.06597238
          0.92485954         -0.37799228          0.00000200          0.00250663          0.00182682
          0.99616167         -0.06572861          0.00002500          0.03133285          0.03124937
          0.99818502         -0.00112110          0.00002800          0.03509280          0.03452066
          0.99778934          0.02597163          0.00003400          0.04261268          0.04176734
          0.57739971          0.81559885          0.00010200          0.12783804          0.12712898
          0.99626643         -0.06203591          0.00003600          0.04511931          0.04404271
         -0.53754288         -0.84088339          0.00007800          0.09775850          0.09711448
          0.99244630         -0.11081219          0.00002500          0.03133285          0.03091952
          0.36305964         -0.93133636          0.00001900          0.02381297          0.02264089
          0.98754624         -0.14597916          0.00015000          0.18799712          0.18782658
          0.99936393          0.02028985          0.00002200          0.02757291          0.02687111
          0.99577774         -0.05975708          0.00002200          0.02757291          0.02747492
          0.96107895         -0.27346259          0.00001500          0.01879971          0.01765602
         -0.97919612          0.19914202          0.00015400          0.19301038          0.19296902
          0.99855622         -0.02026065          0.00001300          0.01629308          0.01519352
          0.98586145          0.15420762          0.00004300          0.05389251          0.05334515
         -0.09143250          0.99387623          0.00021000          0.26319597          0.26225961
          0.99771757          0.02661794          0.00003300          0.04135937          0.04072751
