Circle Test @ YYE. Version 1.1.1.. Simulation on 2023- 6- 2   17h19
          X coord          Y coord          Radius          Time          Local Time


 #               1
         0.90000000         0.00000000        0.00000000        0.00000000        0.00000000
         0.88123238         0.09822309        0.10000000        0.00000000        0.00000000
         0.77329810         0.13271165        0.11331049        0.00000000        0.00000000
         0.96722846         0.03897395        0.21539670        0.00000000        0.00000000
         0.99856424         0.03255414        0.03198664        0.00000000        0.00000000
         0.99656579         0.03263283        0.00200000        0.00000000        0.00000000
         0.99492862         0.03502658        0.00290007        0.00000000        0.00000000
         0.99296241         0.03102894        0.00445501        0.00000000        0.00000000
         0.99160439         0.02461831        0.00655290        0.00000000        0.00000000
         0.99911223         0.02160477        0.00809006        0.00000000        0.00000000
         0.99721171         0.02098187        0.00200000        0.00000000        0.00000000
         0.99584433         0.01880867        0.00256758        0.00000000        0.00000000
         0.99872623         0.01606647        0.00397806        0.00000000        0.00000000
         0.99985999         0.01622326        0.00114455        0.00000000        0.00000000
         0.99914518         0.01436352        0.00200000        0.00000100        0.00125331
         0.99961404         0.01241926        0.00200000        0.00000200        0.00250663
         0.99811085         0.01373851        0.00200000        0.00000300        0.00375994
         0.99635082         0.01408904        0.00179460        0.00000300        0.00375994
         0.99616352         0.01763367        0.00354957        0.00000300        0.00375994
         0.99886540         0.02013274        0.00368042        0.00000300        0.00375994
         0.99875933         0.02052022        0.00200000        0.00000400        0.00501326
         0.99967394         0.02004677        0.00102989        0.00000400        0.00501326
         0.99813593         0.01915717        0.00200000        0.00000500        0.00626657
 Local Time Threshold =   6.2276476492187120E-003


 #               2
         0.90000000         0.00000000        0.00200000        0.00000000        0.00000000
         0.87170261         0.09591276        0.10000000        0.00000000        0.00000000
         0.89457617        -0.02497901        0.12303666        0.00000000        0.00000000
         0.90983925        -0.12893971        0.10507516        0.00000000        0.00000000
         0.93534442        -0.05198659        0.08106970        0.00000000        0.00000000
         0.95336558         0.00860213        0.06321198        0.00000000        0.00000000
         0.98483816         0.04296239        0.04659562        0.00000000        0.00000000
         0.97615275         0.05422825        0.01422519        0.00000000        0.00000000
         0.95846030         0.04058462        0.02234214        0.00000000        0.00000000
         0.93555374         0.00696589        0.04068083        0.00000000        0.00000000
         0.87275705         0.02133786        0.06442033        0.00000000        0.00000000
         0.91089016        -0.09978328        0.12698215        0.00000000        0.00000000
         0.85787871        -0.03506150        0.08366076        0.00000000        0.00000000
         0.73961279         0.04245352        0.14140511        0.00000000        0.00000000
         0.74861670        -0.21655984        0.25916981        0.00000000        0.00000000
         0.93129992        -0.34037672        0.22068932        0.00000000        0.00000000
         0.93856239        -0.34469194        0.00844776        0.00000000        0.00000000
         0.93686965        -0.34440988        0.00200000        0.00000100        0.00125331
         0.93619775        -0.34270745        0.00183023        0.00000100        0.00125331
         0.93488351        -0.33995807        0.00304734        0.00000100        0.00125331
         0.92969667        -0.33933352        0.00522431        0.00000100        0.00125331
         0.93984505        -0.34116095        0.01031160        0.00000100        0.00125331
         0.93925670        -0.33924944        0.00200000        0.00000200        0.00250663
         0.94030435        -0.33839129        0.00135425        0.00000200        0.00250663
         0.93835851        -0.33885356        0.00200000        0.00000200        0.00250663
