Circle Test @ YYE. Version 1.1.1.. Simulation on 2023- 6- 2   17h19
# Polygon        60, Circle Radius    1.00, Thickness 1.00E-03
# No. Particle  1000000, Rho ratio  2.00, Reactivity 1.00E+01, Diff coef 1.00E+00

#   Segment Index   Hitting Probability

 # r0, θ0 =   0.90000000000000002        0.0000000000000000     

       1            1.68519000E-01
       2            1.00255000E-01
       3            5.74400000E-02
       4            3.63360000E-02
       5            2.48340000E-02
       6            1.78380000E-02
       7            1.32170000E-02
       8            1.04300000E-02
       9            8.37500000E-03
      10            6.90300000E-03
      11            5.89000000E-03
      12            5.20800000E-03
      13            4.47900000E-03
      14            3.88800000E-03
      15            3.52400000E-03
      16            3.18500000E-03
      17            2.85800000E-03
      18            2.72000000E-03
      19            2.49500000E-03
      20            2.27600000E-03
      21            2.15500000E-03
      22            2.15600000E-03
      23            1.95100000E-03
      24            1.88500000E-03
      25            1.82400000E-03
      26            1.81900000E-03
      27            1.70900000E-03
      28            1.69800000E-03
      29            1.72900000E-03
      30            1.68200000E-03
      31            1.68100000E-03
      32            1.70800000E-03
      33            1.75000000E-03
      34            1.77800000E-03
      35            1.90000000E-03
      36            1.76100000E-03
      37            1.89600000E-03
      38            1.92500000E-03
      39            2.03100000E-03
      40            2.24800000E-03
      41            2.39600000E-03
      42            2.56400000E-03
      43            2.63600000E-03
      44            2.94800000E-03
      45            3.08000000E-03
      46            3.57500000E-03
      47            3.84500000E-03
      48            4.43300000E-03
      49            5.12500000E-03
      50            5.98000000E-03
      51            6.94700000E-03
      52            8.65900000E-03
      53            1.04670000E-02
      54            1.36310000E-02
      55            1.78880000E-02
      56            2.44030000E-02
      57            3.64840000E-02
      58            5.78710000E-02
      59            1.00063000E-01
      60            1.69049000E-01
