Circle Test @ YYE. Version 1.0.0.. Simulation on 2023- 6- 1   18h36
# Polygon        60, Circle Radius    1.00, Thickness 1.00E-03
# No. Particle  1000000, Rho ratio  2.00, Reactivity 1.00E+00, Diff coef 1.00E+00

#   Segment Index   Hitting Probability

       1          1.8450E-02
       2          1.8571E-02
       3          1.8413E-02
       4          1.8194E-02
       5          1.8320E-02
       6          1.7941E-02
       7          1.8228E-02
       8          1.7872E-02
       9          1.7814E-02
      10          1.7582E-02
      11          1.7357E-02
      12          1.7121E-02
      13          1.6894E-02
      14          1.6746E-02
      15          1.6489E-02
      16          1.6239E-02
      17          1.6352E-02
      18          1.6160E-02
      19          1.6048E-02
      20          1.5851E-02
      21          1.5767E-02
      22          1.5765E-02
      23          1.5701E-02
      24          1.5088E-02
      25          1.5500E-02
      26          1.5217E-02
      27          1.5087E-02
      28          1.5131E-02
      29          1.5091E-02
      30          1.4989E-02
      31          1.5015E-02
      32          1.4913E-02
      33          1.5224E-02
      34          1.5336E-02
      35          1.5250E-02
      36          1.5327E-02
      37          1.5331E-02
      38          1.5465E-02
      39          1.5397E-02
      40          1.5689E-02
      41          1.6070E-02
      42          1.6082E-02
      43          1.6082E-02
      44          1.6338E-02
      45          1.6426E-02
      46          1.6610E-02
      47          1.7145E-02
      48          1.6803E-02
      49          1.7101E-02
      50          1.7409E-02
      51          1.7430E-02
      52          1.7556E-02
      53          1.8041E-02
      54          1.8056E-02
      55          1.8185E-02
      56          1.7992E-02
      57          1.8562E-02
      58          1.8382E-02
      59          1.8477E-02
      60          1.8328E-02
