Circle Test @ YYE. Version 1.0.0.. Simulation on 2023- 6- 1   21h 6
       1.000000E+00       0.000000E+00
       9.945219E-01       1.045285E-01
       9.781476E-01       2.079117E-01
       9.510565E-01       3.090170E-01
       9.135455E-01       4.067366E-01
       8.660254E-01       5.000000E-01
       8.090170E-01       5.877853E-01
       7.431448E-01       6.691306E-01
       6.691306E-01       7.431448E-01
       5.877853E-01       8.090170E-01
       5.000000E-01       8.660254E-01
       4.067366E-01       9.135455E-01
       3.090170E-01       9.510565E-01
       2.079117E-01       9.781476E-01
       1.045285E-01       9.945219E-01
       6.123234E-17       1.000000E+00
      -1.045285E-01       9.945219E-01
      -2.079117E-01       9.781476E-01
      -3.090170E-01       9.510565E-01
      -4.067366E-01       9.135455E-01
      -5.000000E-01       8.660254E-01
      -5.877853E-01       8.090170E-01
      -6.691306E-01       7.431448E-01
      -7.431448E-01       6.691306E-01
      -8.090170E-01       5.877853E-01
      -8.660254E-01       5.000000E-01
      -9.135455E-01       4.067366E-01
      -9.510565E-01       3.090170E-01
      -9.781476E-01       2.079117E-01
      -9.945219E-01       1.045285E-01
      -1.000000E+00       1.224647E-16
      -9.945219E-01      -1.045285E-01
      -9.781476E-01      -2.079117E-01
      -9.510565E-01      -3.090170E-01
      -9.135455E-01      -4.067366E-01
      -8.660254E-01      -5.000000E-01
      -8.090170E-01      -5.877853E-01
      -7.431448E-01      -6.691306E-01
      -6.691306E-01      -7.431448E-01
      -5.877853E-01      -8.090170E-01
      -5.000000E-01      -8.660254E-01
      -4.067366E-01      -9.135455E-01
      -3.090170E-01      -9.510565E-01
      -2.079117E-01      -9.781476E-01
      -1.045285E-01      -9.945219E-01
      -1.836970E-16      -1.000000E+00
       1.045285E-01      -9.945219E-01
       2.079117E-01      -9.781476E-01
       3.090170E-01      -9.510565E-01
       4.067366E-01      -9.135455E-01
       5.000000E-01      -8.660254E-01
       5.877853E-01      -8.090170E-01
       6.691306E-01      -7.431448E-01
       7.431448E-01      -6.691306E-01
       8.090170E-01      -5.877853E-01
       8.660254E-01      -5.000000E-01
       9.135455E-01      -4.067366E-01
       9.510565E-01      -3.090170E-01
       9.781476E-01      -2.079117E-01
       9.945219E-01      -1.045285E-01
       1.000000E+00      -2.449294E-16
