Circle Test @ YYE. Version 1.0.0.. Simulation on 2023- 6- 1   21h 6
# No. Particle  5000000, Rho ratio  2.00, Reactivity 1.00E+01, Diff coef 1.00E+00
 r0, θ0 =   0.20000000000000001        0.0000000000000000     

       1            2.97654068E-02
       2            2.91553134E-02
       3            2.80028837E-02
       4            2.64298533E-02
       5            2.45887501E-02
       6            2.26370807E-02
       7            2.07153204E-02
       8            1.89326925E-02
       9            1.73616346E-02
      10            1.60394435E-02
      11            1.49744383E-02
      12            1.41539800E-02
      13            1.35523482E-02
      14            1.31373249E-02
      15            1.28750570E-02
      16            1.27332468E-02
      17            1.26829635E-02
      18            1.26994411E-02
      19            1.27622010E-02
      20            1.28547757E-02
      21            1.29642281E-02
      22            1.30805990E-02
      23            1.31963615E-02
      24            1.33059246E-02
      25            1.34052062E-02
      26            1.34912789E-02
      27            1.35620864E-02
      28            1.36162229E-02
      29            1.36527677E-02
      30            1.36711691E-02
      31            1.36711691E-02
      32            1.36527677E-02
      33            1.36162229E-02
      34            1.35620864E-02
      35            1.34912789E-02
      36            1.34052062E-02
      37            1.33059246E-02
      38            1.31963615E-02
      39            1.30805990E-02
      40            1.29642281E-02
      41            1.28547757E-02
      42            1.27622010E-02
      43            1.26994411E-02
      44            1.26829635E-02
      45            1.27332468E-02
      46            1.28750570E-02
      47            1.31373249E-02
      48            1.35523482E-02
      49            1.41539800E-02
      50            1.49744383E-02
      51            1.60394435E-02
      52            1.73616346E-02
      53            1.89326925E-02
      54            2.07153204E-02
      55            2.26370807E-02
      56            2.45887501E-02
      57            2.64298533E-02
      58            2.80028837E-02
      59            2.91553134E-02
      60            2.97654068E-02
