Circle Test @ YYE. Version 1.0.0.. Simulation on 2023- 6- 1   21h 6
# Polygon        60, Circle Radius    1.00, Thickness 1.00E-03
# No. Particle  5000000, Rho ratio  2.00, Reactivity 1.00E+01, Diff coef 1.00E+00

#   Segment Index   Hitting Probability

 r0, θ0 =   0.20000000000000001        0.0000000000000000     

       1            2.41196000E-02
       2            2.39280000E-02
       3            2.36036000E-02
       4            2.32186000E-02
       5            2.27984000E-02
       6            2.20784000E-02
       7            2.14144000E-02
       8            2.08098000E-02
       9            1.99950000E-02
      10            1.92854000E-02
      11            1.85174000E-02
      12            1.77030000E-02
      13            1.72144000E-02
      14            1.65278000E-02
      15            1.58326000E-02
      16            1.52684000E-02
      17            1.48570000E-02
      18            1.43178000E-02
      19            1.38026000E-02
      20            1.35218000E-02
      21            1.30786000E-02
      22            1.27894000E-02
      23            1.25686000E-02
      24            1.22702000E-02
      25            1.21090000E-02
      26            1.18744000E-02
      27            1.17068000E-02
      28            1.16546000E-02
      29            1.16230000E-02
      30            1.15310000E-02
      31            1.15132000E-02
      32            1.14684000E-02
      33            1.16838000E-02
      34            1.16984000E-02
      35            1.18460000E-02
      36            1.20514000E-02
      37            1.22558000E-02
      38            1.24772000E-02
      39            1.27168000E-02
      40            1.30252000E-02
      41            1.34422000E-02
      42            1.38246000E-02
      43            1.42068000E-02
      44            1.47704000E-02
      45            1.53356000E-02
      46            1.58686000E-02
      47            1.65878000E-02
      48            1.71986000E-02
      49            1.78034000E-02
      50            1.84846000E-02
      51            1.92662000E-02
      52            2.00674000E-02
      53            2.08300000E-02
      54            2.15640000E-02
      55            2.21760000E-02
      56            2.27670000E-02
      57            2.31706000E-02
      58            2.36678000E-02
      59            2.40282000E-02
      60            2.41844000E-02
