Circle Test @ YYE. Version 1.0.0.. Simulation on 2023- 6- 1   21h19
# No. Particle  1000000, Rho ratio  2.00, Reactivity 1.00E-01, Diff coef 1.00E+00
 r0, θ0 =   0.50000000000000000        0.0000000000000000     

       1            2.28699510E-02
       2            2.20383151E-02
       3            2.06926299E-02
       4            1.92442322E-02
       5            1.79852120E-02
       6            1.70317672E-02
       7            1.63773479E-02
       8            1.59627544E-02
       9            1.57207892E-02
      10            1.55950097E-02
      11            1.55437888E-02
      12            1.55384792E-02
      13            1.55601540E-02
      14            1.55966360E-02
      15            1.56402473E-02
      16            1.56862386E-02
      17            1.57317389E-02
      18            1.57750691E-02
      19            1.58152980E-02
      20            1.58519586E-02
      21            1.58848657E-02
      22            1.59140006E-02
      23            1.59394375E-02
      24            1.59612966E-02
      25            1.59797150E-02
      26            1.59948288E-02
      27            1.60067611E-02
      28            1.60156159E-02
      29            1.60214735E-02
      30            1.60243885E-02
      31            1.60243885E-02
      32            1.60214735E-02
      33            1.60156159E-02
      34            1.60067611E-02
      35            1.59948288E-02
      36            1.59797150E-02
      37            1.59612966E-02
      38            1.59394375E-02
      39            1.59140006E-02
      40            1.58848657E-02
      41            1.58519586E-02
      42            1.58152980E-02
      43            1.57750691E-02
      44            1.57317389E-02
      45            1.56862386E-02
      46            1.56402473E-02
      47            1.55966360E-02
      48            1.55601540E-02
      49            1.55384792E-02
      50            1.55437888E-02
      51            1.55950097E-02
      52            1.57207892E-02
      53            1.59627544E-02
      54            1.63773479E-02
      55            1.70317672E-02
      56            1.79852120E-02
      57            1.92442322E-02
      58            2.06926299E-02
      59            2.20383151E-02
      60            2.28699510E-02
