Circle Test @ YYE. Version 1.0.0.. Simulation on 2023- 6- 1   22h15
# Polygon        60, Circle Radius    1.00, Thickness 1.00E-03
# No. Particle  1000000, Rho ratio  2.00, Reactivity 1.00E-01, Diff coef 1.00E+00

#   Segment Index   Hitting Probability

 r0, θ0 =   0.90000000000000002        0.0000000000000000     

       1            2.35720000E-02
       2            2.21200000E-02
       3            2.05470000E-02
       4            1.99650000E-02
       5            1.91520000E-02
       6            1.84360000E-02
       7            1.80260000E-02
       8            1.73500000E-02
       9            1.72690000E-02
      10            1.68050000E-02
      11            1.66830000E-02
      12            1.62920000E-02
      13            1.62360000E-02
      14            1.59780000E-02
      15            1.58780000E-02
      16            1.57390000E-02
      17            1.54700000E-02
      18            1.53920000E-02
      19            1.51430000E-02
      20            1.54770000E-02
      21            1.50090000E-02
      22            1.49250000E-02
      23            1.50060000E-02
      24            1.47770000E-02
      25            1.47870000E-02
      26            1.48020000E-02
      27            1.48190000E-02
      28            1.47820000E-02
      29            1.49740000E-02
      30            1.48830000E-02
      31            1.46660000E-02
      32            1.49200000E-02
      33            1.49170000E-02
      34            1.48820000E-02
      35            1.49120000E-02
      36            1.48620000E-02
      37            1.47870000E-02
      38            1.48210000E-02
      39            1.49520000E-02
      40            1.51710000E-02
      41            1.51540000E-02
      42            1.52750000E-02
      43            1.52010000E-02
      44            1.53280000E-02
      45            1.57350000E-02
      46            1.57660000E-02
      47            1.59960000E-02
      48            1.61840000E-02
      49            1.63400000E-02
      50            1.65920000E-02
      51            1.67120000E-02
      52            1.73240000E-02
      53            1.74740000E-02
      54            1.79680000E-02
      55            1.85580000E-02
      56            1.93210000E-02
      57            1.98440000E-02
      58            2.05930000E-02
      59            2.18770000E-02
      60            2.35740000E-02
