PSD @ YYE. Simulation done on 2023- 4-19   22h14
  -500.00000000000000       -288.67513459481290     
  -487.65432098765433       -288.67513459481290     
  -481.48148148148152       -299.36680624647261     
  -475.30864197530866       -288.67513459481290     
  -462.96296296296299       -288.67513459481290     
  -456.79012345679013       -299.36680624647266     
  -462.96296296296299       -310.05847789813242     
  -450.61728395061732       -310.05847789813237     
  -444.44444444444446       -320.75014954979213     
  -438.27160493827159       -310.05847789813237     
  -425.92592592592592       -310.05847789813237     
  -432.09876543209879       -299.36680624647266     
  -425.92592592592592       -288.67513459481290     
  -413.58024691358025       -288.67513459481290     
  -407.40740740740745       -299.36680624647261     
  -401.23456790123458       -288.67513459481290     
  -388.88888888888891       -288.67513459481290     
  -382.71604938271605       -299.36680624647266     
  -388.88888888888891       -310.05847789813242     
  -376.54320987654324       -310.05847789813237     
  -370.37037037037038       -320.75014954979213     
  -376.54320987654324       -331.44182120145189     
  -388.88888888888891       -331.44182120145189     
  -382.71604938271605       -342.13349285311159     
  -388.88888888888891       -352.82516450477135     
  -376.54320987654324       -352.82516450477135     
  -370.37037037037038       -363.51683615643105     
  -364.19753086419757       -352.82516450477129     
  -351.85185185185190       -352.82516450477129     
  -345.67901234567904       -363.51683615643105     
  -351.85185185185190       -374.20850780809081     
  -339.50617283950623       -374.20850780809076     
  -333.33333333333337       -384.90017945975052     
  -327.16049382716051       -374.20850780809076     
  -314.81481481481484       -374.20850780809076     
  -320.98765432098770       -363.51683615643105     
  -314.81481481481484       -352.82516450477129     
  -302.46913580246917       -352.82516450477129     
  -296.29629629629636       -363.51683615643100     
  -290.12345679012350       -352.82516450477129     
  -277.77777777777783       -352.82516450477129     
  -283.95061728395063       -342.13349285311159     
  -277.77777777777777       -331.44182120145189     
  -290.12345679012350       -331.44182120145183     
  -296.29629629629630       -320.75014954979213     
  -290.12345679012344       -310.05847789813237     
  -277.77777777777777       -310.05847789813237     
  -283.95061728395063       -299.36680624647266     
  -277.77777777777777       -288.67513459481290     
  -265.43209876543210       -288.67513459481290     
  -259.25925925925924       -299.36680624647266     
  -253.08641975308640       -288.67513459481290     
  -240.74074074074073       -288.67513459481290     
  -234.56790123456790       -299.36680624647266     
  -240.74074074074073       -310.05847789813242     
  -228.39506172839506       -310.05847789813237     
  -222.22222222222223       -320.75014954979213     
  -216.04938271604939       -310.05847789813237     
  -203.70370370370372       -310.05847789813237     
  -209.87654320987656       -299.36680624647266     
  -203.70370370370372       -288.67513459481290     
  -191.35802469135805       -288.67513459481290     
  -185.18518518518522       -299.36680624647266     
  -179.01234567901236       -288.67513459481290     
  -166.66666666666669       -288.67513459481290     
  -160.49382716049385       -299.36680624647266     
  -166.66666666666669       -310.05847789813242     
  -154.32098765432102       -310.05847789813237     
  -148.14814814814818       -320.75014954979213     
  -154.32098765432102       -331.44182120145189     
  -166.66666666666669       -331.44182120145189     
  -160.49382716049385       -342.13349285311159     
  -166.66666666666669       -352.82516450477135     
  -154.32098765432102       -352.82516450477135     
  -148.14814814814815       -363.51683615643105     
  -141.97530864197532       -352.82516450477129     
  -129.62962962962965       -352.82516450477129     
  -123.45679012345681       -363.51683615643105     
  -129.62962962962965       -374.20850780809081     
  -117.28395061728398       -374.20850780809076     
  -111.11111111111114       -384.90017945975052     
  -117.28395061728399       -395.59185111141028     
  -129.62962962962968       -395.59185111141028     
  -123.45679012345683       -406.28352276306998     
  -129.62962962962968       -416.97519441472974     
  -141.97530864197535       -416.97519441472974     
  -148.14814814814818       -406.28352276306998     
  -154.32098765432104       -416.97519441472974     
  -166.66666666666671       -416.97519441472974     
  -160.49382716049388       -427.66686606638945     
  -166.66666666666671       -438.35853771804921     
  -154.32098765432102       -438.35853771804921     
  -148.14814814814818       -449.05020936970891     
  -154.32098765432102       -459.74188102136867     
  -166.66666666666671       -459.74188102136867     
  -160.49382716049388       -470.43355267302837     
  -166.66666666666671       -481.12522432468813     
  -154.32098765432104       -481.12522432468813     
  -148.14814814814821       -491.81689597634789     
  -141.97530864197535       -481.12522432468813     
  -129.62962962962968       -481.12522432468813     
  -123.45679012345684       -491.81689597634789     
  -129.62962962962968       -502.50856762800765     
  -117.28395061728401       -502.50856762800760     
  -111.11111111111117       -513.20023927966736     
  -104.93827160493832       -502.50856762800765     
  -92.592592592592652       -502.50856762800765     
  -98.765432098765487       -491.81689597634789     
  -92.592592592592638       -481.12522432468819     
  -80.246913580246954       -481.12522432468819     
  -74.074074074074119       -491.81689597634795     
  -67.901234567901284       -481.12522432468819     
  -55.555555555555600       -481.12522432468819     
  -49.382716049382758       -491.81689597634789     
  -55.555555555555586       -502.50856762800765     
  -43.209876543209923       -502.50856762800765     
  -37.037037037037081       -513.20023927966736     
  -43.209876543209923       -523.89191093132706     
  -55.555555555555607       -523.89191093132706     
  -49.382716049382758       -534.58358258298688     
  -55.555555555555600       -545.27525423464658     
  -43.209876543209923       -545.27525423464658     
  -37.037037037037088       -555.96692588630629     
  -30.864197530864246       -545.27525423464658     
  -18.518518518518572       -545.27525423464658     
  -12.345679012345734       -555.96692588630629     
  -18.518518518518576       -566.65859753796599     
  -6.1728395061728953       -566.65859753796610     
  -5.6843418860808015E-014  -577.35026918962581     
   6.1728395061727852       -566.65859753796610     
   18.518518518518469       -566.65859753796610     
   12.345679012345627       -555.96692588630629     
   18.518518518518469       -545.27525423464658     
   30.864197530864146       -545.27525423464658     
   37.037037037036981       -555.96692588630629     
   43.209876543209830       -545.27525423464658     
   55.555555555555507       -545.27525423464658     
   49.382716049382672       -534.58358258298688     
   55.555555555555522       -523.89191093132717     
   43.209876543209830       -523.89191093132706     
   37.037037037036995       -513.20023927966736     
   43.209876543209838       -502.50856762800765     
   55.555555555555507       -502.50856762800765     
   49.382716049382680       -491.81689597634789     
   55.555555555555522       -481.12522432468819     
   67.901234567901199       -481.12522432468819     
   74.074074074074034       -491.81689597634795     
   80.246913580246883       -481.12522432468819     
   92.592592592592567       -481.12522432468819     
   98.765432098765402       -491.81689597634789     
   92.592592592592581       -502.50856762800765     
   104.93827160493825       -502.50856762800765     
   111.11111111111109       -513.20023927966736     
   117.28395061728394       -502.50856762800765     
   129.62962962962962       -502.50856762800765     
   123.45679012345677       -491.81689597634789     
   129.62962962962962       -481.12522432468819     
   141.97530864197529       -481.12522432468819     
   148.14814814814812       -491.81689597634795     
   154.32098765432099       -481.12522432468819     
   166.66666666666666       -481.12522432468819     
   160.49382716049382       -470.43355267302843     
   166.66666666666669       -459.74188102136867     
   154.32098765432099       -459.74188102136873     
   148.14814814814815       -449.05020936970897     
   154.32098765432099       -438.35853771804921     
   166.66666666666669       -438.35853771804921     
   160.49382716049385       -427.66686606638950     
   166.66666666666669       -416.97519441472974     
   154.32098765432099       -416.97519441472974     
   148.14814814814815       -406.28352276306998     
   141.97530864197532       -416.97519441472974     
   129.62962962962962       -416.97519441472974     
   123.45679012345678       -406.28352276306998     
   129.62962962962962       -395.59185111141022     
   117.28395061728395       -395.59185111141028     
   111.11111111111111       -384.90017945975052     
   117.28395061728396       -374.20850780809076     
   129.62962962962965       -374.20850780809076     
   123.45679012345680       -363.51683615643105     
   129.62962962962965       -352.82516450477129     
   141.97530864197532       -352.82516450477129     
   148.14814814814815       -363.51683615643105     
   154.32098765432102       -352.82516450477129     
   166.66666666666669       -352.82516450477129     
   160.49382716049385       -342.13349285311159     
   166.66666666666669       -331.44182120145183     
   154.32098765432099       -331.44182120145183     
   148.14814814814815       -320.75014954979213     
   154.32098765432099       -310.05847789813237     
   166.66666666666669       -310.05847789813237     
   160.49382716049385       -299.36680624647266     
   166.66666666666669       -288.67513459481290     
   179.01234567901236       -288.67513459481290     
   185.18518518518519       -299.36680624647266     
   191.35802469135805       -288.67513459481290     
   203.70370370370372       -288.67513459481290     
   209.87654320987656       -299.36680624647266     
   203.70370370370372       -310.05847789813242     
   216.04938271604939       -310.05847789813237     
   222.22222222222223       -320.75014954979213     
   228.39506172839506       -310.05847789813237     
   240.74074074074073       -310.05847789813237     
   234.56790123456790       -299.36680624647266     
   240.74074074074073       -288.67513459481290     
   253.08641975308640       -288.67513459481290     
   259.25925925925924       -299.36680624647266     
   265.43209876543210       -288.67513459481290     
