PSD @ YYE. Version 2.0.1.. Simulation on 2023- 5-31   10h 7
# Polygon   3, Gmax   2, Length    2.00, Thickness 1.00E-03
# No. Particle  1000000, Rho ratio  2.00, Reactivity 1.00E+01, Diff coef 1.00E+00

#   Segment Index   Hitting Probability

       1          8.2010E-03
       2          9.6910E-03
       3          1.3743E-02
       4          5.1788E-02
       5          5.1718E-02
       6          1.3654E-02
       7          9.7230E-03
       8          8.2170E-03
       9          8.0930E-03
      10          9.6690E-03
      11          1.3507E-02
      12          5.2032E-02
      13          5.1746E-02
      14          1.3466E-02
      15          9.6890E-03
      16          8.0340E-03
      17          8.0890E-03
      18          9.7400E-03
      19          1.3836E-02
      20          5.1651E-02
      21          5.2018E-02
      22          1.3755E-02
      23          9.7710E-03
      24          8.0670E-03
      25          8.2600E-03
      26          9.8500E-03
      27          1.3559E-02
      28          5.2088E-02
      29          5.1542E-02
      30          1.3726E-02
      31          9.4570E-03
      32          8.2730E-03
      33          8.1980E-03
      34          9.6730E-03
      35          1.3602E-02
      36          5.1879E-02
      37          5.2201E-02
      38          1.3721E-02
      39          9.5870E-03
      40          8.1610E-03
      41          8.3800E-03
      42          9.7030E-03
      43          1.3766E-02
      44          5.1622E-02
      45          5.1370E-02
      46          1.3763E-02
      47          9.7020E-03
      48          8.0190E-03
