PSD @ YYE. Version 2.0.2.. Simulation on 2023- 5-31   13h22
# Polygon   3, Gmax   2, Length    2.00, Thickness 1.00E-03
# No. Particle  1000000, Rho ratio  2.00, Reactivity 1.00E+01, Diff coef 1.00E+00

#   Segment Index   Hitting Probability

       1          8.1560E-03
       2          9.6890E-03
       3          1.3640E-02
       4          5.2027E-02
       5          5.1587E-02
       6          1.3625E-02
       7          9.9590E-03
       8          8.1200E-03
       9          8.2070E-03
      10          9.7550E-03
      11          1.3445E-02
      12          5.2018E-02
      13          5.1976E-02
      14          1.3444E-02
      15          9.6480E-03
      16          8.1580E-03
      17          8.2540E-03
      18          9.5310E-03
      19          1.3734E-02
      20          5.1814E-02
      21          5.1789E-02
      22          1.3818E-02
      23          9.8570E-03
      24          8.1380E-03
      25          8.2910E-03
      26          9.9120E-03
      27          1.3591E-02
      28          5.2121E-02
      29          5.1760E-02
      30          1.3701E-02
      31          9.7050E-03
      32          8.1810E-03
      33          8.1070E-03
      34          9.5870E-03
      35          1.3366E-02
      36          5.1917E-02
      37          5.1435E-02
      38          1.3656E-02
      39          9.8390E-03
      40          8.2990E-03
      41          8.2240E-03
      42          9.7290E-03
      43          1.3828E-02
      44          5.1708E-02
      45          5.1422E-02
      46          1.3515E-02
      47          9.6740E-03
      48          8.0430E-03
