PSD @ YYE. Version 2.0.2.. Simulation on 2023- 5-31   13h55
      -1.0000000000E+00      -5.7735026919E-01
      -7.7777777778E-01      -5.7735026919E-01
      -6.6666666667E-01      -7.6980035892E-01
      -5.5555555556E-01      -5.7735026919E-01
      -3.3333333333E-01      -5.7735026919E-01
      -2.2222222222E-01      -7.6980035892E-01
      -3.3333333333E-01      -9.6225044865E-01
      -1.1111111111E-01      -9.6225044865E-01
      -1.1102230246E-16      -1.1547005384E+00
       1.1111111111E-01      -9.6225044865E-01
       3.3333333333E-01      -9.6225044865E-01
       2.2222222222E-01      -7.6980035892E-01
       3.3333333333E-01      -5.7735026919E-01
       5.5555555556E-01      -5.7735026919E-01
       6.6666666667E-01      -7.6980035892E-01
       7.7777777778E-01      -5.7735026919E-01
       1.0000000000E+00      -5.7735026919E-01
       8.8888888889E-01      -3.8490017946E-01
       1.0000000000E+00      -1.9245008973E-01
       7.7777777778E-01      -1.9245008973E-01
       6.6666666667E-01       0.0000000000E+00
       7.7777777778E-01       1.9245008973E-01
       1.0000000000E+00       1.9245008973E-01
       8.8888888889E-01       3.8490017946E-01
       1.0000000000E+00       5.7735026919E-01
       7.7777777778E-01       5.7735026919E-01
       6.6666666667E-01       7.6980035892E-01
       5.5555555556E-01       5.7735026919E-01
       3.3333333333E-01       5.7735026919E-01
       2.2222222222E-01       7.6980035892E-01
       3.3333333333E-01       9.6225044865E-01
       1.1111111111E-01       9.6225044865E-01
       4.4408920985E-16       1.1547005384E+00
      -1.1111111111E-01       9.6225044865E-01
      -3.3333333333E-01       9.6225044865E-01
      -2.2222222222E-01       7.6980035892E-01
      -3.3333333333E-01       5.7735026919E-01
      -5.5555555556E-01       5.7735026919E-01
      -6.6666666667E-01       7.6980035892E-01
      -7.7777777778E-01       5.7735026919E-01
      -1.0000000000E+00       5.7735026919E-01
      -8.8888888889E-01       3.8490017946E-01
      -1.0000000000E+00       1.9245008973E-01
      -7.7777777778E-01       1.9245008973E-01
      -6.6666666667E-01       0.0000000000E+00
      -7.7777777778E-01      -1.9245008973E-01
      -1.0000000000E+00      -1.9245008973E-01
      -8.8888888889E-01      -3.8490017946E-01
      -1.0000000000E+00      -5.7735026919E-01
