PSD @ YYE. Version 2.0.2.. Simulation on 2023- 5-31   13h55
            X coord            Y coord            Time            Local Time            Threshold

          0.55555553         -0.57735024          0.45330506          0.23555773         26.89129183
          0.11111115         -0.96225044          0.38536465          0.25341178         13.27132782
          0.33333331          0.57735025          0.11923433          0.13748090          3.49961265
         -0.66666666          0.00000001          0.08058725          0.06431186         20.44039682
          0.30548320          0.62186052          0.25143875          0.93365322          0.93310469
          0.33333333          0.57735026          0.11733919          0.04203042         11.06582842
         -0.66666663          0.00000003          0.19812370          0.33100920          1.67026660
          0.71796984          0.08973555          0.15981760          0.23083021          0.23038490
          0.77777771          0.19245010          0.14820345          0.15988154         28.05788919
         -0.77777774          0.57735028          0.33859710          1.91648270         31.93995419
         -0.77777777         -0.57735024          0.43989220          3.00545872         49.18162263
         -0.77777778         -0.57735027          0.45444659          1.23165384          5.72858748
         -0.11111112          0.96225041          0.22302928          0.93027739          8.83994388
          0.55555557         -0.57735023          0.48724946          1.09809230          1.49101617
          0.88888886          0.38490016          0.49239245          0.71187750          6.32597798
         -0.55555555          0.57735025          0.18868378          0.36020501          7.12551120
         -0.11111113         -0.96225044          0.12034082          0.01367891          5.48334433
          0.33387788         -0.57615328          0.08997545          0.19435741          0.19371621
         -0.55555554          0.57735025          1.47598303          2.99318832          5.96456044
         -0.33333333         -0.57735027          0.08834869          0.28276244          4.63065802
