PSD @ YYE. Version 2.0.2.. Simulation on 2023- 5-31   13h55
          X coord          Y coord          Generation          Radius          Time          Local Time

 #            1
         0.00000000         0.00000000       1        0.00000000        0.00000000        0.00000000
        -0.01941761         0.49962281       2        0.50000000        0.06250000        0.00000000
         0.26394520         0.62711446       2        0.31072271        0.08663715        0.00000000
         0.24877381         0.65888801       3        0.03520979        0.08694708        0.00000000
         0.28106336         0.65554807       4        0.03246182        0.08721053        0.00000000
         0.27491398         0.65602985       4        0.00616822        0.08722004        0.00000000
         0.27118767         0.64541188       4        0.01125285        0.08725169        0.00000000
         0.27410059         0.66498523       4        0.01978892        0.08734959        0.00000000
         0.26667124         0.66585058       4        0.00747958        0.08736358        0.00000000
         0.25340083         0.66347759       4        0.01348091        0.08740901        0.00000000
         0.23388317         0.68089604       4        0.02615992        0.08758010        0.00000000
         0.20205417         0.66797024       4        0.03435348        0.08787514        0.00000000
         0.27020320         0.66234127       4        0.06838111        0.08904413        0.00000000
         0.25809012         0.66109716       4        0.01217680        0.08908120        0.00000000
         0.27993550         0.65302491       4        0.02328908        0.08921680        0.00000000
         0.27771828         0.66113381       4        0.00840656        0.08923447        0.00000000
         0.28013875         0.65534738       4        0.00627228        0.08924430        0.00000000
         0.27309920         0.65599524       4        0.00706930        0.08925680        0.00000000
         0.28473079         0.65055301       4        0.01284180        0.08929802        0.00000000
         0.29018859         0.64996238       4        0.00548966        0.08930556        0.00000000
         0.28991261         0.65098415       4        0.00105839        0.08930584        0.00000000
         0.28928499         0.65156984       4        0.00200000        0.08930684        0.00125331
         0.28971905         0.65251185       4        0.00103720        0.08930711        0.00125331
         0.29084327         0.65086677       4        0.00200000        0.08930811        0.00250663
         0.28936152         0.65221005       4        0.00200000        0.08930911        0.00375994
         0.29048387         0.65086088       4        0.00200000        0.08931011        0.00501326
         0.28879450         0.65193141       4        0.00200000        0.08931111        0.00626657
         0.28816100         0.65304502       4        0.00128119        0.08931152        0.00626657
         0.28723429         0.65391781       4        0.00127301        0.08931192        0.00626657
         0.28756135         0.65552402       4        0.00163917        0.08931259        0.00626657
         0.28704547         0.65472440       4        0.00200000        0.08931359        0.00751988
         0.28754868         0.65341861       4        0.00139940        0.08931408        0.00751988
         0.28870850         0.65229259       4        0.00161651        0.08931474        0.00751988
         0.28922170         0.65123551       4        0.00117508        0.08931508        0.00751988
         0.28854718         0.65229877       4        0.00125917        0.08931548        0.00751988
         0.28723694         0.65236070       4        0.00131170        0.08931591        0.00751988
         0.28893208         0.65408140       4        0.00241544        0.08931737        0.00751988
         0.28733391         0.65528385       4        0.00200000        0.08931737        0.00751988
         0.28551494         0.65445238       4        0.00200000        0.08931737        0.00751988
         0.28265455         0.65439891       4        0.00286089        0.08931941        0.00751988
         0.27729987         0.65472821       4        0.00536479        0.08932661        0.00751988
         0.28532101         0.64903290       4        0.00983743        0.08935080        0.00751988
         0.28014933         0.64654593       4        0.00573858        0.08935903        0.00751988
         0.27473893         0.65664935       4        0.01146087        0.08939187        0.00751988
         0.27498822         0.66774125       4        0.01109470        0.08942265        0.00751988
         0.27769197         0.66314461       4        0.00533286        0.08942976        0.00751988
         0.28285974         0.66427361       4        0.00528966        0.08943675        0.00751988
         0.28149806         0.66540691       4        0.00200000        0.08943775        0.00877320
         0.27996442         0.66412318       4        0.00200000        0.08943875        0.01002651
         0.28161364         0.66642589       4        0.00283238        0.08944076        0.01002651
         0.27993030         0.66534590       4        0.00200000        0.08944076        0.01002651
         0.27794883         0.66641305       4        0.00225057        0.08944202        0.01002651
         0.27532150         0.66862271       4        0.00343300        0.08944497        0.01002651
         0.27838372         0.66518542       4        0.00460350        0.08945027        0.01002651
         0.27524532         0.66708823       4        0.00367019        0.08945363        0.01002651
         0.27512242         0.67252356       4        0.00543672        0.08946102        0.01002651
         0.27740111         0.67419417       4        0.00282549        0.08946302        0.01002651
         0.27704462         0.67222620       4        0.00200000        0.08946302        0.01002651
         0.27580333         0.67264329       4        0.00130949        0.08946345        0.01002651
         0.27552702         0.67480161       4        0.00217594        0.08946463        0.01002651
         0.27419096         0.67480219       4        0.00133606        0.08946508        0.01002651
         0.27294488         0.67696124       4        0.00249284        0.08946663        0.01002651
         0.27412253         0.67915793       4        0.00249245        0.08946818        0.01002651
         0.27306260         0.67849180       4        0.00200000        0.08946918        0.01127983
         0.27143738         0.67848880       4        0.00162522        0.08946985        0.01127983
         0.27171253         0.68151050       4        0.00303420        0.08947215        0.01127983
         0.27052646         0.68101593       4        0.00128506        0.08947256        0.01127983
         0.27070685         0.68356908       4        0.00255952        0.08947420        0.01127983
         0.27053521         0.68468265       4        0.00112672        0.08947451        0.01127983
         0.26860228         0.68416907       4        0.00200000        0.08947451        0.01127983
         0.26630332         0.68548579       4        0.00264934        0.08947627        0.01127983
         0.26784376         0.68181390       4        0.00398194        0.08948023        0.01127983
         0.27131058         0.68465745       4        0.00448382        0.08948526        0.01127983
         0.27194401         0.68278866       4        0.00200000        0.08948626        0.01253314
         0.26994523         0.68271894       4        0.00200000        0.08948726        0.01378646
         0.26801794         0.68380327       4        0.00221137        0.08948848        0.01378646
         0.26471165         0.68334220       4        0.00333829        0.08949127        0.01378646
         0.25832161         0.68407713       4        0.00643216        0.08950161        0.01378646
         0.26853478         0.68957435       4        0.01159863        0.08953524        0.01378646
         0.26934581         0.68774617       4        0.00200000        0.08953524        0.01378646
         0.26850120         0.68593326       4        0.00200000        0.08953524        0.01378646
         0.27004960         0.68491215       4        0.00185477        0.08953610        0.01378646
         0.27026888         0.68591279       4        0.00102438        0.08953637        0.01378646
         0.26826889         0.68591943       4        0.00200000        0.08953637        0.01378646
         0.26625770         0.68637830       4        0.00206288        0.08953743        0.01378646
         0.26329602         0.68838092       4        0.00357519        0.08954063        0.01378646
         0.26795961         0.68622270       4        0.00513877        0.08954723        0.01378646
         0.26874275         0.68418920       4        0.00217909        0.08954841        0.01378646
         0.27045830         0.68603183       4        0.00251762        0.08955000        0.01378646
         0.26930209         0.68762011       4        0.00200000        0.08955100        0.01503977
         0.26800765         0.68871027       4        0.00200000        0.08955200        0.01629308
         0.26698833         0.68698952       4        0.00200000        0.08955300        0.01754640
         0.26918274         0.68845152       4        0.00263683        0.08955474        0.01754640
         0.26895011         0.68646509       4        0.00200000        0.08955474        0.01754640
         0.26835722         0.68542168       4        0.00120010        0.08955510        0.01754640
         0.26724377         0.68735987       4        0.00223526        0.08955635        0.01754640
         0.26754395         0.68957002       4        0.00223044        0.08955759        0.01754640
         0.26556524         0.68927900       4        0.00200000        0.08955759        0.01754640
         0.26756561         0.68742926       4        0.00272452        0.08955945        0.01754640
         0.26735319         0.68933448       4        0.00191702        0.08956036        0.01754640
         0.26685733         0.68829867       4        0.00114838        0.08956069        0.01754640
         0.26849945         0.68699658       4        0.00209571        0.08956179        0.01754640
         0.26722469         0.68735664       4        0.00132463        0.08956223        0.01754640
         0.26940404         0.68791030       4        0.00224858        0.08956349        0.01754640
         0.26755022         0.68800649       4        0.00200000        0.08956449        0.01879971
         0.26909580         0.68745289       4        0.00164174        0.08956517        0.01879971
         0.26796260         0.68580491       4        0.00200000        0.08956517        0.01879971
         0.27019899         0.68497506       4        0.00238540        0.08956659        0.01879971
         0.27182946         0.68384315       4        0.00200000        0.08956759        0.02005303
         0.27018948         0.68496074       4        0.00200000        0.08956859        0.02130634
         0.26829057         0.68433293       4        0.00200000        0.08956959        0.02255965
         0.26646992         0.68215674       4        0.00283735        0.08957160        0.02255965
         0.26562961         0.67671911       4        0.00550218        0.08957917        0.02255965
         0.27207666         0.67051305       4        0.00894873        0.08959919        0.02255965
         0.27848363         0.67140273       4        0.00646844        0.08960965        0.02255965
         0.27786967         0.66949930       4        0.00200000        0.08960965        0.02255965
         0.27900951         0.66790675       4        0.00195843        0.08961061        0.02255965
         0.27909352         0.66614118       4        0.00176757        0.08961139        0.02255965
         0.28124771         0.66472574       4        0.00257760        0.08961305        0.02255965
         0.28260488         0.66430889       4        0.00141974        0.08961356        0.02255965
         0.28075037         0.66356003       4        0.00200000        0.08961356        0.02255965
         0.28024191         0.66118044       4        0.00243331        0.08961504        0.02255965
