PSD @ YYE. Simulation done on 2023- 5-30   11h 0
     Segment Index     Hitting Probability

       1          1.2380E-02
       2          1.2434E-02
       3          1.7059E-02
       4          4.1427E-02
       5          4.1286E-02
       6          1.6955E-02
       7          1.2902E-02
       8          1.2294E-02
       9          1.2473E-02
      10          1.2849E-02
      11          1.7081E-02
      12          4.1184E-02
      13          4.0748E-02
      14          1.6670E-02
      15          1.3019E-02
      16          1.2198E-02
      17          1.2480E-02
      18          1.2357E-02
      19          1.7222E-02
      20          4.1024E-02
      21          4.1585E-02
      22          1.7004E-02
      23          1.3064E-02
      24          1.2462E-02
      25          1.2628E-02
      26          1.2713E-02
      27          1.7212E-02
      28          4.1191E-02
      29          4.1213E-02
      30          1.6780E-02
      31          1.2775E-02
      32          1.1934E-02
      33          1.2460E-02
      34          1.2401E-02
      35          1.6966E-02
      36          4.1153E-02
      37          4.1429E-02
      38          1.7202E-02
      39          1.2996E-02
      40          1.2291E-02
      41          1.2614E-02
      42          1.2662E-02
      43          1.6995E-02
      44          4.1255E-02
      45          4.1043E-02
      46          1.6791E-02
      47          1.2859E-02
      48          1.2280E-02
